 N   tn       tk      t1      u1      u2      u3      u4
 31 -10.000  20.000   5.000  20.000   0.000  10.000 100.000
  N             Time          U input         U output
     1        -10.000          0.000          0.000
     2         -9.000          1.333         13.333
     3         -8.000          2.667         26.667
     4         -7.000          4.000         40.000
     5         -6.000          5.333         53.333
     6         -5.000          6.667         66.667
     7         -4.000          8.000         80.000
     8         -3.000          9.333         93.333
     9         -2.000         10.667        100.000
    10         -1.000         12.000        100.000
    11          0.000         13.333        100.000
    12          1.000         14.667        100.000
    13          2.000         16.000        100.000
    14          3.000         17.333        100.000
    15          4.000         18.667        100.000
    16          5.000         20.000        100.000
    17          6.000         18.667        100.000
    18          7.000         17.333        100.000
    19          8.000         16.000        100.000
    20          9.000         14.667        100.000
    21         10.000         13.333        100.000
    22         11.000         12.000        100.000
    23         12.000         10.667        100.000
    24         13.000          9.333         93.333
    25         14.000          8.000         80.000
    26         15.000          6.667         66.667
    27         16.000          5.333         53.333
    28         17.000          4.000         40.000
    29         18.000          2.667         26.667
    30         19.000          1.333         13.333
    31         20.000          0.000          0.000
   Input impulse duration  Output impulse duration
         15.000             23.000

